seg,title,bid,maxbid2x,allin,rlo,rhi,netlo,nethi,mlo,st,size,uf,end,estado,url,thumb
vista alegre,VISTA ALEGRE - CONJUNTO DE SEIS XÍCARAS DE CHÁ COM PIRES EM PORCELANA ,120.0,15,236,252,488,-2,218,1.07,0.65,peq/med,RJ,2026-06-18 19:00,junho,https://paulaoantiguidades.com.br/peca.asp?Id=30884068,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61966/30884068.jpg
limoges,RR Antiguidades  Antigo pequeno prato decorativo em porcelana Francesa,120.0,15,236,252,486,-2,216,1.07,0.58,peq/med,RJ,2026-07-09 18:00,julho,https://rrdeco.com.br/peca.asp?Id=31063575,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31063575.jpg
opalina,Excepcional caixa em opalina azul finamente decorada com flores em pol,250.0,24,372,270,630,-121,213,0.72,0.48,peq/med,RJ,2026-06-18 19:00,junho,https://antiguitati.com.br/peca.asp?Id=31026529,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62159/31026529.jpg
candelabro,"Lote de vaso floreira em porcelana, castiçal em porcelana e cachepot e",60.0,0,173,162,414,-22,212,0.94,0.47,peq/med,,NaT,sem_data,https://prochicleiloes.com.br/peca.asp?Id=31033288,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62121/31033288.jpg
opalina,Magnífico Lustre Pendente com Cúpula em Vidro Opalinado Séc. XX. |  Es,200.0,0,380,270,630,-129,206,0.71,0.48,medio,RJ,2026-06-16 19:00,junho,https://delonleiloes.com.br/peca.asp?Id=30939457,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61492/30939457.jpg
candelabro,"Candelabro antigo em porcelana, em bom estado de conservação",20.0,0,191,162,414,-40,194,0.85,0.47,medio,,NaT,sem_data,https://leocolecoes.com.br/peca.asp?Id=31128979,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62511/31128979.jpg
prata lei/contr,RR Antiguidades Antigo trio de colheres comemorativas em prata de lei.,350.0,7,478,234,720,-260,192,0.49,0.49,peq/med,RJ,2026-07-16 15:00,julho,https://rrdeco.com.br/peca.asp?Id=30176451,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176451.jpg
vista alegre,Par de travessas em porcelana portuguesa Vista Alegre. Decoração de fl,150.0,15,268,252,488,-33,186,0.94,0.65,peq/med,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=30909637,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/30909637.jpg
candelabro,Castiçal de bronze . Mede: 50 cm de alt,100.0,0,215,162,414,-64,170,0.75,0.47,peq/med,,NaT,sem_data,https://casaamarelaleiloes.net.br/peca.asp?Id=30876545,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61976/30876545.jpg
prata lei/contr,Grande Placa Prata de lei Nossa Senhora de Fátima Peso total 39g. medi,380.0,7,509,234,720,-291,161,0.46,0.49,peq/med,SP,2026-06-15 16:00,junho,https://vapordaarte.com.br/peca.asp?Id=31154736,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62450/31154736.jpg
